t,ear,ear_ratio,blink_blend,state,score,level,perclos,yawns,yaw_dev,pitch_dev,distracted,microsleep,blink_rate,ground_truth
3.197,0.3108,1.0,0.1488,CALIBRANDO,0.0,0,0.0,0,-0.8,-0.2,0,0,0.0,0
3.295,0.3115,1.0223,0.1477,OLHOS ABERTOS,0.0,0,0.0,0,-0.9,-0.1,0,0,0.0,0
3.388,0.3117,1.023,0.1466,OLHOS ABERTOS,0.0,0,0.0,0,-0.9,-0.0,0,0,0.0,0
3.484,0.3112,1.0216,0.1473,OLHOS ABERTOS,0.0,0,0.0,0,-0.9,-0.2,0,0,0.0,0
3.597,0.3122,1.0247,0.1436,OLHOS ABERTOS,0.0,0,0.0,0,-0.9,-0.4,0,0,0.0,0
3.692,0.3135,1.0289,0.1409,OLHOS ABERTOS,0.0,0,0.0,0,-0.9,-0.4,0,0,0.0,0
3.788,0.3147,1.033,0.1392,OLHOS ABERTOS,0.0,0,0.0,0,-0.9,-0.2,0,0,0.0,0
3.884,0.3106,1.0194,0.1403,OLHOS ABERTOS,0.0,0,0.0,0,-0.9,-0.3,0,0,0.0,0
3.999,0.3102,1.0182,0.1427,OLHOS ABERTOS,0.0,0,0.0,0,-0.9,-0.4,0,0,0.0,0
4.093,0.3106,1.0196,0.1455,OLHOS ABERTOS,0.0,0,0.0,0,-1.0,-0.5,0,0,0.0,0
4.187,0.3118,1.0235,0.1428,OLHOS ABERTOS,0.0,0,0.0,0,-1.0,-0.5,0,0,0.0,0
4.286,0.3118,1.0234,0.1408,OLHOS ABERTOS,0.0,0,0.0,0,-1.2,-0.6,0,0,0.0,0
4.402,0.3142,1.0313,0.1381,OLHOS ABERTOS,0.0,0,0.0,0,-1.2,-0.6,0,0,0.0,0
4.493,0.3142,1.0313,0.1411,OLHOS ABERTOS,0.0,0,0.0,0,-1.2,-0.6,0,0,0.0,0
4.589,0.3117,1.0232,0.1403,OLHOS ABERTOS,0.0,0,0.0,0,-1.1,-0.4,0,0,0.0,0
4.684,0.3085,1.0127,0.1511,OLHOS ABERTOS,0.0,0,0.0,0,-1.3,-0.8,0,0,0.0,0
4.796,0.312,1.0241,0.1486,OLHOS ABERTOS,0.0,0,0.0,0,-1.3,-0.7,0,0,0.0,0
4.893,0.3103,1.0184,0.1542,OLHOS ABERTOS,0.0,0,0.0,0,-1.3,-0.6,0,0,0.0,0
4.989,0.309,1.0144,0.1573,OLHOS ABERTOS,0.0,0,0.0,0,-1.3,-0.6,0,0,0.0,0
5.084,0.2398,0.7871,0.332,OLHOS ABERTOS,0.0,0,0.0,0,-1.6,-0.6,0,0,0.0,0
5.196,0.0923,0.3029,0.6645,OLHOS FECHADOS,5.02,0,0.0476,0,-1.7,-0.5,0,0,0.0,0
5.293,0.1138,0.3736,0.6171,OLHOS FECHADOS,9.41,0,0.0909,0,-1.5,-0.3,0,0,0.0,0
5.389,0.207,0.6795,0.3116,SEMICERRADO,11.14,0,0.1304,0,-1.5,-0.2,0,0,0.0,0
5.488,0.2645,0.8683,0.2052,OLHOS ABERTOS,8.66,0,0.125,0,-1.5,-0.3,0,0,1.0,0
5.598,0.2977,0.9771,0.1716,OLHOS ABERTOS,5.92,0,0.12,0,-1.5,-0.3,0,0,1.0,0
5.692,0.3089,1.0141,0.1605,OLHOS ABERTOS,3.57,0,0.1154,0,-1.4,-0.3,0,0,1.0,0
