t,ear,ear_ratio,blink_blend,state,score,level,perclos,yawns,yaw_dev,pitch_dev,distracted,microsleep,blink_rate,ground_truth
3.414,0.3273,1.0026,0.1143,OLHOS ABERTOS,0.0,0,0.0,0,-0.8,-0.1,0,0,0.0,0
3.511,0.3302,1.0112,0.1138,OLHOS ABERTOS,0.0,0,0.0,0,-0.8,-0.1,0,0,0.0,0
3.622,0.3294,1.0089,0.117,OLHOS ABERTOS,0.0,0,0.0,0,-1.0,-0.2,0,0,0.0,0
3.717,0.3331,1.0203,0.1141,OLHOS ABERTOS,0.0,0,0.0,0,-0.9,-0.2,0,0,0.0,0
3.814,0.3385,1.0367,0.1103,OLHOS ABERTOS,0.0,0,0.0,0,-1.0,-0.2,0,0,0.0,0
3.909,0.3379,1.0349,0.1113,OLHOS ABERTOS,0.0,0,0.0,0,-0.9,-0.2,0,0,0.0,0
4.022,0.3393,1.0393,0.1073,OLHOS ABERTOS,0.0,0,0.0,0,-1.0,-0.1,0,0,0.0,0
4.121,0.3418,1.0469,0.1041,OLHOS ABERTOS,0.0,0,0.0,0,-1.1,-0.0,0,0,0.0,0
4.214,0.1018,0.312,0.6493,OLHOS FECHADOS,4.18,0,0.0833,0,-1.1,-0.4,0,0,0.0,0
4.314,0.1165,0.357,0.5647,OLHOS FECHADOS,8.71,0,0.1538,0,-1.5,-0.9,0,0,0.0,0
4.427,0.2125,0.6509,0.2821,SEMICERRADO,10.74,0,0.2143,0,-1.5,-1.1,0,0,0.0,0
4.523,0.281,0.8607,0.1827,OLHOS ABERTOS,8.32,0,0.2,0,-1.4,-0.8,0,0,1.0,0
4.619,0.3004,0.9202,0.1526,OLHOS ABERTOS,5.93,0,0.1875,0,-1.2,-0.5,0,0,1.0,0
4.71,0.3115,0.9541,0.1407,OLHOS ABERTOS,3.65,0,0.1765,0,-1.3,-0.5,0,0,1.0,0
4.822,0.3211,0.9835,0.13,OLHOS ABERTOS,0.85,0,0.1667,0,-1.3,-0.4,0,0,1.0,0
4.919,0.3214,0.9843,0.1306,OLHOS ABERTOS,0.0,0,0.1579,0,-1.2,-0.5,0,0,1.0,0
5.015,0.3275,1.003,0.1271,OLHOS ABERTOS,0.0,0,0.15,0,-1.2,-0.4,0,0,1.0,0
5.111,0.3309,1.0136,0.1229,OLHOS ABERTOS,0.0,0,0.1429,0,-1.3,-0.4,0,0,1.0,0
5.225,0.3298,1.0101,0.1215,OLHOS ABERTOS,0.0,0,0.1364,0,-1.2,-0.3,0,0,1.0,0
5.322,0.3307,1.013,0.1203,OLHOS ABERTOS,0.0,0,0.1304,0,-1.3,-0.3,0,0,1.0,0
5.415,0.3312,1.0146,0.1189,OLHOS ABERTOS,0.0,0,0.125,0,-1.3,-0.2,0,0,1.0,0
5.51,0.3363,1.0302,0.1149,OLHOS ABERTOS,0.0,0,0.12,0,-1.2,-0.3,0,0,1.0,0
5.622,0.3313,1.0148,0.1186,OLHOS ABERTOS,0.0,0,0.1154,0,-1.2,-0.4,0,0,1.0,0
5.719,0.334,1.0229,0.1178,OLHOS ABERTOS,0.0,0,0.1111,0,-1.3,-0.3,0,0,1.0,0
5.814,0.3293,1.0088,0.1208,OLHOS ABERTOS,0.0,0,0.1071,0,-1.2,-0.2,0,0,1.0,0
5.912,0.3299,1.0104,0.1231,OLHOS ABERTOS,0.0,0,0.1034,0,-1.4,-0.4,0,0,1.0,0
6.022,0.3323,1.0179,0.1209,OLHOS ABERTOS,0.0,0,0.1,0,-1.5,-0.4,0,0,1.0,0
6.118,0.3394,1.0396,0.1122,OLHOS ABERTOS,0.0,0,0.0968,0,-1.6,-0.1,0,0,1.0,0
6.214,0.3398,1.0407,0.1125,OLHOS ABERTOS,0.0,0,0.0938,0,-1.5,-0.2,0,0,1.0,0
6.31,0.3414,1.0457,0.1127,OLHOS ABERTOS,0.0,0,0.0909,0,-1.5,-0.1,0,0,1.0,0
6.422,0.3455,1.0583,0.1042,OLHOS ABERTOS,0.0,0,0.0882,0,-1.5,-0.2,0,0,1.0,0
6.518,0.2606,0.7981,0.2558,OLHOS ABERTOS,0.0,0,0.0857,0,-2.0,-0.7,0,0,1.0,0
6.613,0.2461,0.7537,0.2627,SEMICERRADO,1.71,0,0.1111,0,-2.0,-0.9,0,0,1.0,0
6.711,0.2835,0.8683,0.2004,OLHOS ABERTOS,0.0,0,0.1081,0,-1.9,-0.7,0,0,2.0,0
6.827,0.3138,0.9611,0.1562,OLHOS ABERTOS,0.0,0,0.1053,0,-1.8,-0.2,0,0,2.0,0
6.918,0.3167,0.97,0.1486,OLHOS ABERTOS,0.0,0,0.1026,0,-1.8,-0.2,0,0,2.0,0
7.015,0.3277,1.0036,0.1331,OLHOS ABERTOS,0.0,0,0.1,0,-1.7,-0.1,0,0,2.0,0
7.11,0.3281,1.005,0.1292,OLHOS ABERTOS,0.0,0,0.0976,0,-1.6,-0.2,0,0,2.0,0
7.221,0.3322,1.0173,0.1253,OLHOS ABERTOS,0.0,0,0.0952,0,-1.6,-0.2,0,0,2.0,0
7.318,0.3333,1.0209,0.1228,OLHOS ABERTOS,0.0,0,0.093,0,-1.6,-0.3,0,0,2.0,0
7.413,0.3346,1.025,0.1193,OLHOS ABERTOS,0.0,0,0.0909,0,-1.6,-0.2,0,0,2.0,0
7.51,0.337,1.0322,0.1177,OLHOS ABERTOS,0.0,0,0.0889,0,-1.8,-0.2,0,0,2.0,0
7.622,0.3366,1.031,0.1149,OLHOS ABERTOS,0.0,0,0.087,0,-1.8,-0.3,0,0,2.0,0
7.719,0.3401,1.0417,0.1127,OLHOS ABERTOS,0.0,0,0.0851,0,-1.8,0.1,0,0,2.0,0
7.815,0.3345,1.0246,0.116,OLHOS ABERTOS,0.0,0,0.0833,0,-1.8,0.1,0,0,2.0,0
7.91,0.3341,1.0232,0.1181,OLHOS ABERTOS,0.0,0,0.0816,0,-1.8,-0.2,0,0,2.0,0
8.021,0.282,0.8638,0.1871,OLHOS ABERTOS,0.0,0,0.08,0,-1.8,-0.7,0,0,2.0,0
8.118,0.0983,0.301,0.6475,OLHOS FECHADOS,4.36,0,0.098,0,-1.8,-0.8,0,0,2.0,0
8.215,0.0995,0.3047,0.5846,OLHOS FECHADOS,8.71,0,0.1154,0,-2.1,-1.2,0,0,2.0,0
8.312,0.2366,0.7248,0.2481,SEMICERRADO,10.47,0,0.1321,0,-2.0,-0.9,0,0,2.0,0
8.423,0.1262,0.3865,0.5738,OLHOS FECHADOS,15.44,0,0.1481,0,-2.3,-0.6,0,0,2.0,0
8.518,0.1105,0.3384,0.5651,OLHOS FECHADOS,19.72,0,0.1636,0,-2.2,-1.0,0,0,2.0,0
