t,ear,ear_ratio,blink_blend,state,score,level,perclos,yawns,yaw_dev,pitch_dev,distracted,microsleep,blink_rate,ground_truth
3.035,0.3662,1.0,0.069,CALIBRANDO,0.0,0,0.0,0,-0.3,0.1,0,0,0.0,0
3.131,0.3663,1.0535,0.0697,OLHOS ABERTOS,0.0,0,0.0,0,-0.3,0.0,0,0,0.0,0
3.228,0.364,1.0469,0.0702,OLHOS ABERTOS,0.0,0,0.0,0,-0.3,-0.1,0,0,0.0,0
3.339,0.3651,1.0499,0.069,OLHOS ABERTOS,0.0,0,0.0,0,-0.3,0.1,0,0,0.0,0
3.435,0.362,1.0411,0.0711,OLHOS ABERTOS,0.0,0,0.0,0,-0.3,0.1,0,0,0.0,0
3.532,0.3621,1.0413,0.0712,OLHOS ABERTOS,0.0,0,0.0,0,-0.4,-0.1,0,0,0.0,0
3.628,0.3652,1.0504,0.0686,OLHOS ABERTOS,0.0,0,0.0,0,-0.5,0.1,0,0,0.0,0
3.739,0.3657,1.0519,0.0688,OLHOS ABERTOS,0.0,0,0.0,0,-0.4,0.0,0,0,0.0,0
3.836,0.3656,1.0516,0.0698,OLHOS ABERTOS,0.0,0,0.0,0,-0.3,0.0,0,0,0.0,0
3.937,0.3651,1.0499,0.0711,OLHOS ABERTOS,0.0,0,0.0,0,-0.4,-0.0,0,0,0.0,0
4.037,0.368,1.0584,0.0718,OLHOS ABERTOS,0.0,0,0.0,0,-0.4,-0.0,0,0,0.0,0
4.143,0.3643,1.0479,0.0748,OLHOS ABERTOS,0.0,0,0.0,0,-0.4,0.1,0,0,0.0,0
4.235,0.3649,1.0496,0.073,OLHOS ABERTOS,0.0,0,0.0,0,-0.2,-0.1,0,0,0.0,0
4.346,0.3663,1.0536,0.0715,OLHOS ABERTOS,0.0,0,0.0,0,-0.4,0.1,0,0,0.0,0
4.43,0.367,1.0556,0.0718,OLHOS ABERTOS,0.0,0,0.0,0,-0.4,-0.1,0,0,0.0,0
4.539,0.3667,1.0546,0.0724,OLHOS ABERTOS,0.0,0,0.0,0,-0.5,-0.2,0,0,0.0,0
4.635,0.3667,1.0546,0.0719,OLHOS ABERTOS,0.0,0,0.0,0,-0.4,-0.1,0,0,0.0,0
4.731,0.3672,1.0562,0.0714,OLHOS ABERTOS,0.0,0,0.0,0,-0.3,0.1,0,0,0.0,0
4.827,0.3632,1.0447,0.0727,OLHOS ABERTOS,0.0,0,0.0,0,-0.4,-0.1,0,0,0.0,0
4.94,0.3652,1.0503,0.0694,OLHOS ABERTOS,0.0,0,0.0,0,-0.2,0.0,0,0,0.0,0
5.035,0.3619,1.041,0.072,OLHOS ABERTOS,0.0,0,0.0,0,-0.2,-0.0,0,0,0.0,0
5.131,0.3633,1.0449,0.0721,OLHOS ABERTOS,0.0,0,0.0,0,-0.2,-0.0,0,0,0.0,0
5.229,0.361,1.0384,0.0748,OLHOS ABERTOS,0.0,0,0.0,0,-0.3,0.0,0,0,0.0,0
5.34,0.3595,1.0338,0.0773,OLHOS ABERTOS,0.0,0,0.0,0,-0.6,-0.2,0,0,0.0,0
