t,ear,ear_ratio,blink_blend,state,score,level,perclos,yawns,yaw_dev,pitch_dev,distracted,microsleep,blink_rate,ground_truth
4.048,0.3044,1.0334,0.1613,OLHOS ABERTOS,0.0,0,0.0,0,-0.9,1.7,0,0,0.0,0
4.143,0.3062,1.0397,0.1612,OLHOS ABERTOS,0.0,0,0.0,0,-0.9,1.6,0,0,0.0,0
4.261,0.3062,1.0397,0.1632,OLHOS ABERTOS,0.0,0,0.0,0,-0.8,1.8,0,0,0.0,0
4.356,0.3062,1.0396,0.1613,OLHOS ABERTOS,0.0,0,0.0,0,-0.9,1.8,0,0,0.0,0
4.453,0.3056,1.0375,0.161,OLHOS ABERTOS,0.0,0,0.0,0,-1.1,1.6,0,0,0.0,0
4.544,0.3058,1.0383,0.1603,OLHOS ABERTOS,0.0,0,0.0,0,-1.1,1.6,0,0,0.0,0
4.656,0.3069,1.0419,0.1613,OLHOS ABERTOS,0.0,0,0.0,0,-1.1,1.7,0,0,0.0,0
4.751,0.3089,1.0489,0.1578,OLHOS ABERTOS,0.0,0,0.0,0,-1.1,1.6,0,0,0.0,0
4.847,0.3104,1.0538,0.1531,OLHOS ABERTOS,0.0,0,0.0,0,-1.1,1.7,0,0,0.0,0
4.945,0.31,1.0526,0.152,OLHOS ABERTOS,0.0,0,0.0,0,-1.1,1.8,0,0,0.0,0
5.056,0.3095,1.0509,0.1504,OLHOS ABERTOS,0.0,0,0.0,0,-1.0,2.0,0,0,0.0,0
5.151,0.3091,1.0494,0.1536,OLHOS ABERTOS,0.0,0,0.0,0,-1.1,1.8,0,0,0.0,0
5.248,0.3094,1.0505,0.1535,OLHOS ABERTOS,0.0,0,0.0,0,-1.2,1.8,0,0,0.0,0
5.343,0.3115,1.0575,0.1476,OLHOS ABERTOS,0.0,0,0.0,0,-1.2,1.7,0,0,0.0,0
5.456,0.3122,1.0598,0.1433,OLHOS ABERTOS,0.0,0,0.0,0,-1.2,1.7,0,0,0.0,0
5.551,0.3136,1.0648,0.1396,OLHOS ABERTOS,0.0,0,0.0,0,-1.2,1.9,0,0,0.0,0
5.647,0.1508,0.512,0.5183,OLHOS FECHADOS,4.32,0,0.037,0,-1.7,1.1,0,0,0.0,0
