t,ear,ear_ratio,blink_blend,state,score,level,perclos,yawns,yaw_dev,pitch_dev,distracted,microsleep,blink_rate,ground_truth
4.774,0.3164,0.9416,0.1036,OLHOS ABERTOS,0.0,0,0.0,0,-0.3,-0.4,0,0,0.0,0
4.869,0.3152,0.9379,0.1063,OLHOS ABERTOS,0.0,0,0.0,0,-0.2,-0.4,0,0,0.0,0
4.982,0.3139,0.9341,0.1099,OLHOS ABERTOS,0.0,0,0.0,0,-0.2,-0.3,0,0,0.0,0
5.077,0.3119,0.928,0.1105,OLHOS ABERTOS,0.0,0,0.0,0,-0.2,-0.4,0,0,0.0,0
5.174,0.3121,0.9287,0.1091,OLHOS ABERTOS,0.0,0,0.0,0,-0.1,-0.3,0,0,0.0,0
5.269,0.3146,0.9363,0.1034,OLHOS ABERTOS,0.0,0,0.0,0,-0.1,-0.3,0,0,0.0,0
5.383,0.3174,0.9444,0.1025,OLHOS ABERTOS,0.0,0,0.0,0,-0.1,-0.4,0,0,0.0,0
5.485,0.3117,0.9275,0.1123,OLHOS ABERTOS,0.0,0,0.0,0,-0.1,-0.4,0,0,0.0,0
5.574,0.0715,0.2128,0.664,OLHOS FECHADOS,4.0,0,0.0385,0,-0.1,-0.6,0,0,0.0,0
5.67,0.0738,0.2197,0.6185,OLHOS FECHADOS,8.32,0,0.0741,0,0.1,-0.4,0,0,0.0,0
5.781,0.0922,0.2743,0.5714,OLHOS FECHADOS,13.32,0,0.1071,0,-0.1,-0.2,0,0,0.0,0
5.877,0.1392,0.4142,0.4812,OLHOS FECHADOS,17.64,0,0.1379,0,-0.2,-0.3,0,0,0.0,0
5.974,0.1534,0.4565,0.4259,OLHOS FECHADOS,22.0,0,0.1667,0,-0.2,-0.2,0,0,0.0,0
6.07,0.1642,0.4885,0.4074,OLHOS FECHADOS,26.32,0,0.1935,0,-0.1,-0.3,0,0,0.0,0
6.181,0.0563,0.1675,0.7131,OLHOS FECHADOS,31.31,1,0.2188,0,-0.1,-0.8,0,0,0.0,0
6.278,0.0562,0.1673,0.7076,OLHOS FECHADOS,35.67,1,0.2424,0,-0.2,-0.8,0,0,0.0,0
6.374,0.0608,0.1808,0.6894,OLHOS FECHADOS,40.0,1,0.2647,0,-0.4,-1.0,0,0,0.0,0
6.472,0.0638,0.1899,0.6226,OLHOS FECHADOS,44.41,1,0.2857,0,-0.2,-1.1,0,0,0.0,0
6.583,0.1526,0.4541,0.4653,OLHOS FECHADOS,49.39,1,0.3056,0,-0.6,-0.9,0,0,0.0,0
6.677,0.236,0.7024,0.246,SEMICERRADO,51.09,1,0.3243,0,-0.5,-0.7,0,0,0.0,0
6.776,0.2664,0.7927,0.2012,OLHOS ABERTOS,48.62,1,0.3158,0,-0.4,-0.5,0,0,0.0,0
6.871,0.2733,0.8133,0.1869,OLHOS ABERTOS,46.25,1,0.3077,0,-0.2,-0.2,0,0,0.0,0
6.984,0.2709,0.8061,0.1894,OLHOS ABERTOS,43.43,1,0.3,0,-0.2,-0.2,0,0,0.0,0
7.078,0.2776,0.8261,0.1783,OLHOS ABERTOS,41.07,1,0.2927,0,-0.2,-0.2,0,0,0.0,0
7.174,0.2809,0.8357,0.1728,OLHOS ABERTOS,38.68,1,0.2857,0,-0.1,0.1,0,0,0.0,0
7.272,0.282,0.8392,0.1728,OLHOS ABERTOS,36.22,1,0.2791,0,-0.3,-0.0,0,0,0.0,0
7.382,0.2929,0.8715,0.1644,OLHOS ABERTOS,33.46,1,0.2727,0,-0.4,-0.1,0,0,0.0,0
7.478,0.289,0.8599,0.1725,OLHOS ABERTOS,31.06,1,0.2667,0,-0.3,-0.3,0,0,0.0,0
7.576,0.2842,0.8456,0.1822,OLHOS ABERTOS,28.62,0,0.2609,0,-0.7,-0.5,0,0,0.0,0
